path,is_orphan,broken_links_count,broken_targets,empty_note,duplicate_stem,links_out,links_in
02 领域/04 家庭与亲密关系/04 节日纪念与陪伴.md,yes,0,,yes,no,0,0
02 领域/05 社交与协作关系/00 领域主页.md,yes,0,,yes,yes,0,0
02 领域/05 社交与协作关系/01 朋友同学.md,yes,0,,yes,no,0,0
02 领域/05 社交与协作关系/02 同事领导.md,yes,0,,yes,no,0,0
02 领域/05 社交与协作关系/03 贵人与合作方.md,yes,0,,yes,no,0,0
02 领域/05 社交与协作关系/04 跟进清单.md,yes,0,,yes,no,0,0
02 领域/06 成长与输出/00 领域主页.md,yes,0,,yes,yes,0,0
02 领域/06 成长与输出/01 学习方向.md,yes,0,,yes,no,0,0
02 领域/06 成长与输出/02 阅读与课程.md,yes,0,,yes,no,0,0
02 领域/06 成长与输出/03 技能地图.md,yes,0,,yes,no,0,0
02 领域/06 成长与输出/04 写作与表达.md,yes,0,,yes,no,0,0
02 领域/06 成长与输出/05 输出清单.md,yes,0,,yes,no,0,0
02 领域/07 生活运营与环境/00 领域主页.md,yes,0,,yes,yes,0,0
02 领域/07 生活运营与环境/01 居住环境.md,yes,0,,yes,no,0,0
02 领域/07 生活运营与环境/02 家务采购.md,yes,0,,yes,no,0,0
02 领域/07 生活运营与环境/03 证件办事.md,yes,0,,yes,no,0,0
02 领域/07 生活运营与环境/04 数字生活.md,yes,0,,yes,no,0,0
02 领域/07 生活运营与环境/05 设备工具.md,yes,0,,yes,no,0,0
02 领域/07 生活运营与环境/06 出行安排.md,yes,0,,yes,no,0,0
02 领域/08 情绪与心智/00 领域主页.md,yes,0,,yes,yes,0,0
02 领域/08 情绪与心智/01 情绪模式.md,yes,0,,yes,no,0,0
02 领域/08 情绪与心智/02 压力源清单.md,yes,0,,yes,no,0,0
02 领域/08 情绪与心智/03 专注与分心.md,yes,0,,yes,no,0,0
02 领域/08 情绪与心智/04 自我对话与复盘.md,yes,0,,yes,no,0,0
03 项目/00 项目总览.md,yes,0,,yes,no,0,0
03 项目/01 进行中/建立知识采集栈.md,yes,0,,no,no,0,0
03 项目/01 进行中/整理人生系统常用AI提示词.md,yes,0,,no,no,0,0
04 知识/00 知识总览.md,yes,0,,no,no,0,0
04 知识/01 摘录/从采集到回顾，我用 AI 搭建了一套个人信息处理系统 - 少数派.md,yes,0,,no,yes,0,0
04 知识/01 摘录/如何在 AI 时代搭建硬件基座.md,no,0,,no,no,0,1
04 知识/02 主题笔记/知识采集栈.md,no,0,,no,yes,0,3
04 知识/05 主题地图.md,yes,0,,yes,no,0,0
05 人物/00 人物总览.md,yes,0,,no,no,0,0
06 系统/01 模板/主题笔记模版.md,no,0,,no,no,0,3
06 系统/01 模板/人物卡模板.md,no,3,项目A | 会议纪要A | 决定记录A,no,no,3,2
06 系统/01 模板/文章摘录模版.md,no,0,,no,no,0,3
06 系统/01 模板/方法清单模版.md,no,0,,no,no,0,3
06 系统/01 模板/每周回顾模板.md,no,0,,no,no,0,2
06 系统/01 模板/每日笔记模板.md,no,0,,no,no,0,2
06 系统/01 模板/长青笔记模版.md,no,0,,no,no,0,3
06 系统/01 模板/项目模版.md,no,0,,no,no,0,2
06 系统/01 模板/领域首页模板.md,no,3,项目A | 项目B | 项目C,no,no,3,2
06 系统/03 导航/人生系统-首页.md,no,12,领域-职业-首页 | 领域-健康-首页 | 领域-财务-首页 | 领域-学习-首页 | 领域-关系-首页 | 领域-生活-首页 | 项目A/00 项目主页 | 项目B/00 项目主页 | 项目C/00 项目主页 | 人物-张三 | 人物-李四 | 00 收件箱,no,no,12,0
06 系统/03 导航/本周入口.md,yes,0,,yes,no,0,0
06 系统/03 导航/采集源总览.md,no,0,,no,no,0,2
06 系统/04 规则/obsidian-life-review 使用说明.md,no,18,../../README | ../../_audit/current/00_tree | ../../_audit/current/01_inventory.csv | ../../_audit/current/02_core_notes | ../../_audit/current/03_changed_notes | ../../_audit/current/04_link_health.csv | ../../scripts/run_audit.bat | ../../REVIEW_START | ../../README | ../../REVIEW_START | ../../_audit/current/00_tree | ../../_audit/current/01_inventory.csv | ../../_audit/current/02_core_notes | ../../_audit/current/03_changed_notes | ../../_audit/current/04_link_health.csv | ../../03%20项目/00%20项目总览 | ../../04%20知识/00%20知识总览 | ../../05%20人物/00%20人物总览,no,no,50,0
06 系统/04 规则/人生系统常用提示词/文章收录提示词.md,no,0,,no,no,0,2
06 系统/04 规则/文章收录及使用规则.md,no,31,文章A | 文章B | 文章C | 某篇文章 | 某篇文章 | 如何提高面试表达的结构感 | 行政岗面试常见问题 | 睡眠恢复的关键因素 | 如何建立稳定作息 | 睡眠恢复的关键因素 | 02 领域/01 职业与事业/00 主页 | 03 项目/01 进行中/求职转型 | 03 项目/01 进行中/面试准备 | 综合行政岗如何写好会议通知和纪要 | 02 领域/01 职业与事业/00 主页 | 03 项目/01 进行中/求职转型 | 会议通知四段式 | 综合行政岗如何写好会议通知和纪要 | 综合行政岗如何写好会议通知和纪要 | 综合行政岗如何写好会议通知和纪要 | 综合行政岗如何写好会议通知和纪要 | 行政写作先服务行动再服务表达 | 会议通知四段式 | 会议通知四段式 | 行政写作先服务行动再服务表达 | 综合行政岗如何写好会议通知和纪要 | 行政写作先服务行动再服务表达 | 会议通知四段式 | 综合行政岗如何写好会议通知和纪要 | 行政写作先服务行动再服务表达 | 会议通知四段式,no,no,31,2
06 系统/04 规则/标签规范.md,yes,0,,no,no,0,0
06 系统/04 规则/知识采集栈.md,yes,0,,no,yes,0,0
06 系统/04 规则/系统说明.md,no,0,,no,no,0,1
